"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105381092",100.146070869937,-1.50217803253119,0.220379503136477,-6.81632371047191,9.3399713056888e-12,7.35484038784434e-10
"LOC119694719",87.1318069779173,-2.82429672974869,0.415676166138354,-6.79446395973699,1.08715989046655e-11,8.5138955597911e-10
"LOC119692276",12247.2807144957,-1.37396271428084,0.203158045183635,-6.76302389619329,1.35140936958713e-11,1.04682813830029e-09
"LOC105395344",3414.76081895007,1.08811767600247,0.161155565176602,6.75197083519925,1.45850199252888e-11,1.11763596233947e-09
"LOC105386643",3098.00206084524,-1.47697299396971,0.218875727975147,-6.74799808838288,1.49898922214946e-11,1.14251836274311e-09
"LOC105381413",651.43072353135,5.44189329715439,0.809520722143451,6.72236441674443,1.78799088837117e-11,1.35554436872097e-09
"LOC105393716",966.57977043223,1.59196507667983,0.236894343327143,6.72014812308699,1.81539922066437e-11,1.3690415392661e-09
"LOC105392830",1709.14189361122,1.89179207297745,0.281720005105285,6.71514993147343,1.87872943562773e-11,1.40934371821063e-09
"LOC105395794",407.213943345644,2.00365172492289,0.29851543691759,6.71205397487043,1.91903677687266e-11,1.43204351731759e-09
"LOC105383909",468.822114613168,3.61180237468937,0.539336871610964,6.69674662498254,2.13110650244132e-11,1.58201359267167e-09
"LOC105396550",261.319709625118,-1.31841524339792,0.19732891867386,-6.68130779947646,2.36819228198716e-11,1.73988889665789e-09
"LOC105393093",1576.80683166359,-2.13029131372966,0.319011997766295,-6.67777804172208,2.42592071022044e-11,1.77316142988574e-09
"LOC119692424",3326.8994695635,1.06635768943605,0.159921167189664,6.66802092665674,2.59275821799325e-11,1.88543790209479e-09
"LOC105393603",4708.91152778989,1.75129943376205,0.262735063732268,6.66564793021557,2.63500244450222e-11,1.90643095642082e-09
"LOC105385949",501.639040845058,-1.41563111559916,0.212733321107294,-6.65448698036908,2.84289918193192e-11,2.04645666869069e-09
"LOC105392119",158.283282935854,2.39354325542093,0.360303989695811,6.64312170798247,3.07108037482641e-11,2.1996034463518e-09
"LOC105391178",1045.44953385156,-1.10950614179117,0.16769720036934,-6.61612799347616,3.68729144536794e-11,2.62774824854146e-09
"LOC105391036",1225.34858355817,1.41888155122395,0.214582647506204,6.61228467312542,3.78433354854406e-11,2.68348786404967e-09
"LOC105386962",1013.65800051433,-3.17751893154283,0.480624397601154,-6.61123103072202,3.81137115738339e-11,2.68928084684087e-09
"LOC105398638",594.330269207513,1.6881867638838,0.255464471325595,6.60830351525541,3.88749049286756e-11,2.72947793078036e-09
"LOC105383934",32.3455754387998,5.62062090915125,0.850923454340669,6.60531905717224,3.96662119925836e-11,2.77138489965831e-09
"LOC119690472",155.477538498682,-1.60247891761195,0.242681882119965,-6.60320788520917,4.02354695068376e-11,2.79744461893149e-09
"LOC105383961",63.5664957534456,-1.91771140119002,0.290719425728699,-6.59643364520002,4.21165869320833e-11,2.91401802690768e-09
"LOC105390500",9563.30840641659,1.49194223411244,0.226447106060226,6.58848002109436,4.44352031249614e-11,3.05958913111147e-09
"LOC105392958",1979.38107298486,2.88083851193927,0.438545606459767,6.56907393325709,5.06291431001081e-11,3.46931334906654e-09
"LOC105395364",987.188221780999,1.09582635968641,0.166871912766137,6.56687120990909,5.13834512051644e-11,3.4874682382248e-09
"LOC105389143",393.308210933898,1.98600432937233,0.30278805300789,6.55905776216533,5.41488266208417e-11,3.64048691427762e-09
"LOC105384697",18644.6972332781,2.17245343758207,0.331193740275405,6.55946406407188,5.40015048067223e-11,3.64048691427762e-09
"LOC125489363",366.634541398287,-1.72253903792525,0.262899010625407,-6.55209402967141,5.67357964533306e-11,3.79650378802498e-09
"LOC119694367",147.668640521413,-1.46477124870149,0.223670401136719,-6.54879340877179,5.80038050682612e-11,3.86321604503704e-09
"LOC105393842",3654.56927763549,1.50773793479712,0.230258085697682,6.54803469866726,5.82991759933924e-11,3.86482862992475e-09
"LOC105386970",1066.55771042752,1.87456799461769,0.286758526657003,6.53709591994068,6.27248237181401e-11,4.13896718729005e-09
"LOC125491457",1006.24224255675,-1.62045777158279,0.248300591268895,-6.526193769019,6.74620354335928e-11,4.43104327665898e-09
"LOC105391458",16759.9094731945,1.46380329503933,0.224647981813067,6.5159868485148,7.22133023128522e-11,4.72135870580313e-09
"LOC105388951",727.611543316161,1.59339727832287,0.244636461612583,6.51332703154547,7.35042369600944e-11,4.76207222451012e-09
"LOC105390933",109.195483267795,2.92514092723046,0.44965500681738,6.50530047009675,7.75382392541272e-11,5.00069015424921e-09
"LOC105393606",6606.19732760857,1.61691668191518,0.248682662556889,6.5019276586895,7.92972344797711e-11,5.06826674009048e-09
"LOC105384964",2555.81365350707,1.44611721617663,0.222450040567585,6.50086290156134,7.98605884448391e-11,5.08148646028702e-09
"LOC105390057",9395.97777219391,1.02051823116311,0.157097897195994,6.49606550678342,8.24477685790989e-11,5.22279131359065e-09
"LOC105386990",7271.1518145945,1.57950091110471,0.243482919309821,6.48711176776582,8.74974320454888e-11,5.51814557055023e-09
"LOC125489745",385.844747797178,-1.5837987189307,0.244582633730979,-6.47551584006878,9.44885738362015e-11,5.93280018893119e-09
"LOC105386668",56995.8426431782,-1.4416247446086,0.222887414089221,-6.46795042465488,9.93410754629436e-11,6.21012433584796e-09
"LOC105393565",43.827105237826,3.10488703705982,0.480667042921492,6.459538016562,1.05023101260984e-10,6.53665616713018e-09
"LOC105392876",5807.92353242898,-1.31009904660956,0.20290267073601,-6.45678561971266,1.06950232346619e-10,6.62765939841897e-09
"LOC105392683",2271.01818092101,1.46088452864635,0.226514441249827,6.44941011524788,1.12286331339143e-10,6.92821247002945e-09
"LOC105397906",682.278707741522,-1.15377432987835,0.178989518872597,-6.44604408764067,1.14807278147483e-10,7.05322472170722e-09
"LOC105386407",687.645116299134,1.09750653026016,0.170390832342427,6.4411125597095,1.18600871190216e-10,7.25501380718522e-09
"LOC105391380",32270.4592523428,1.83224430983935,0.284673824782634,6.4362935764761,1.22426137120921e-10,7.45700740335253e-09
"LOC105391695",31.3474593494153,-4.41763595378285,0.686473704145775,-6.43525881195991,1.23263115162739e-10,7.4760390655937e-09
"LOC105390246",722.423076867009,1.48878216517625,0.231731020557784,6.42461316397218,1.32205280325239e-10,7.98441466303232e-09
"LOC105393863",97.6501169531817,-1.70187963287384,0.2649856195153,-6.42253581906386,1.34022699922971e-10,8.06002338397516e-09
"LOC105396806",2008.86027987862,1.59542817023219,0.248437692161336,6.42184427150497,1.34633118383303e-10,8.06271359797151e-09
"LOC105386546",3327.17338773412,1.93060980467731,0.301027888630333,6.41339184040895,1.42317096941116e-10,8.45301886275334e-09
